Item ID;Sale ID;Product ID;Sale date;Year;Month;Year/Month;Quantity;Unit Price;Original Price;Revenue;Calculate disccount;Discount applied;Discount;Channel;Channel Campaings;Category;Country;Age range
2967;515;137;20/5/25;2025;5;2025-05;5;46,52;46,52;232,6;0;0;0;E-commerce;Website Banner;Pants;GERMANY;46-55
919;239;200;20/4/25;2025;4;2025-04;5;46,41;46,41;232,05;0;0;0;E-commerce;Website Banner;Sleepwear;FRANCE;36-45
1642;883;261;21/5/25;2025;5;2025-05;5;46,1;46,1;230,5;0;0;0;App Mobile;App Mobile;T-Shirts;PORTUGAL;46-55
1674;665;62;13/4/25;2025;4;2025-04;5;46,09;46,09;230,45;0;0;0;E-commerce;Website Banner;Pants;SPAIN;16-25
159;1220;155;21/5/25;2025;5;2025-05;5;46,07;46,07;230,35;0;0;0;E-commerce;Website Banner;Dresses;FRANCE;46-55
796;419;201;22/5/25;2025;5;2025-05;5;45,62;45,62;228,1;0;0;0;E-commerce;Website Banner;T-Shirts;NETHERLANDS;26-35
394;727;109;22/4/25;2025;4;2025-04;5;45,27;45,27;226,35;0;0;0;E-commerce;Website Banner;Dresses;NETHERLANDS;26-35
187;561;487;6/6/25;2025;6;2025-06;5;44,86;49,84;224,3;9,99;4,98;1;E-commerce;Website Banner;Shoes;PORTUGAL;26-35
851;1166;12;17/5/25;2025;5;2025-05;5;44,77;44,77;223,85;0;0;0;E-commerce;Website Banner;Dresses;GERMANY;16-25
2553;298;12;18/5/25;2025;5;2025-05;5;44,77;44,77;223,85;0;0;0;E-commerce;Website Banner;Dresses;FRANCE;26-35
3122;716;322;19/4/25;2025;4;2025-04;5;44,45;44,45;222,25;0;0;0;E-commerce;Website Banner;Dresses;ITALY;16-25
84;108;55;19/5/25;2025;5;2025-05;5;44,32;44,32;221,6;0;0;0;E-commerce;Website Banner;T-Shirts;GERMANY;46-55
1000;531;29;30/5/25;2025;5;2025-05;5;44,27;44,27;221,35;0;0;0;App Mobile;App Mobile;Sleepwear;GERMANY;36-45
2180;564;489;28/5/25;2025;5;2025-05;5;44,21;44,21;221,05;0;0;0;E-commerce;Website Banner;T-Shirts;FRANCE;16-25
